Pos.,Titolo,Prima Progr.,Nazione,Distribuzione,Incasso,Presenze,Incasso al 16/11/2023,Presenze al 16/11/2023,2023-11-17 15:31:50.351708
3,WISH,'2023-12-21'21/12/2023,USA,WALT DISNEY S.M.P. ITALIA,474095.60,66730,8072984.52,1150419,2024-01-08 10:27:14.696568
4,WONKA,'2023-12-14'14/12/2023,GBR,WARNER BROS ITALIA S.P.A.,421037.70,55681,12855776.13,1709988,2024-01-08 10:27:14.696568
5,50KM ALL'ORA,'2024-01-04'04/01/2024,ITA,EAGLE PICTURES S.P.A.,368128.60,50310,1162135.74,158239,2024-01-08 10:27:14.696568
6,COME PUO' UNO SCOGLIO,'2023-12-28'28/12/2023,ITA,VISION DISTRIBUTION,345493.09,46335,3394172.95,469548,2024-01-08 10:27:14.696568
7,C'E' ANCORA DOMANI,'2023-10-26'26/10/2023,ITA,VISION DISTRIBUTION,247102.80,32788,34538203.11,5052428,2024-01-08 10:27:14.697568
8,PERFECT DAYS,'2024-01-04'04/01/2024,JPN,LUCKY RED DISTRIB.,227669.99,32421,670727.98,95450,2024-01-08 10:27:14.697568
9,AQUAMAN E IL REGNO PERDUTO (AQUAMAN AND THE LOST KINGDOM),'2023-12-20'20/12/2023,USA,WARNER BROS ITALIA S.P.A.,192959.17,24789,5145783.59,660596,2024-01-08 10:27:14.697568
10,WONDER - WHITE BIRD,'2024-01-04'04/01/2024,USA,MEDUSA FILM S.P.A.,134352.21,19089,435659.59,61256,2024-01-08 10:27:14.697568
Pos.,Titolo,Prima Progr.,Nazione,Distribuzione,Incasso,Presenze,Incasso al 08/01/2024,Presenze al 08/01/2024,2024-01-09 10:05:54.449701
1,IL RAGAZZO E L'AIRONE (HOW DO YOU LIVE?),'2024-01-01'01/01/2024,JPN,LUCKY RED DISTRIB.,136720.87,19526,4087919.49,546386,2024-01-09 10:05:54.454206
2,SUCCEDE ANCHE NELLE MIGLIORI FAMIGLIE,'2023-12-31'31/12/2023,ITA,01 DISTRIBUTION,98427.15,14775,3966151.86,548918,2024-01-09 10:05:54.454206
3,COME PUO' UNO SCOGLIO,'2023-12-28'28/12/2023,ITA,VISION DISTRIBUTION,66361.88,9952,3464471.93,479986,2024-01-09 10:05:54.454206
4,C'E' ANCORA DOMANI,'2023-10-26'26/10/2023,ITA,VISION DISTRIBUTION,52181.58,8298,34593001.59,5061035,2024-01-09 10:05:54.454206
5,PERFECT DAYS,'2024-01-04'04/01/2024,JPN,LUCKY RED DISTRIB.,51155.72,7996,723059.70,103614,2024-01-09 10:05:54.454206
6,WONKA,'2023-12-14'14/12/2023,GBR,WARNER BROS ITALIA S.P.A.,48594.61,6958,12911264.34,1717711,2024-01-09 10:05:54.454206
7,50KM ALL'ORA,'2024-01-04'04/01/2024,ITA,EAGLE PICTURES S.P.A.,36442.46,5732,1204522.80,164649,2024-01-09 10:05:54.455212
8,AQUAMAN E IL REGNO PERDUTO (AQUAMAN AND THE LOST KINGDOM),'2023-12-20'20/12/2023,USA,WARNER BROS ITALIA S.P.A.,31664.49,4350,5181298.88,665366,2024-01-09 10:05:54.455212
9,WISH,'2023-12-21'21/12/2023,USA,WALT DISNEY S.M.P. ITALIA,29413.53,4668,8111844.95,1156320,2024-01-09 10:05:54.455212
10,WONDER - WHITE BIRD,'2024-01-04'04/01/2024,USA,MEDUSA FILM S.P.A.,16167.41,2575,455488.80,64249,2024-01-09 10:05:54.455212
Pos.,Titolo,Prima Progr.,Nazione,Distribuzione,Incasso,Presenze,Incasso al 09/01/2024,Presenze al 09/01/2024,2024-01-10 09:49:19.631970
1,IL RAGAZZO E L'AIRONE (HOW DO YOU LIVE?),'2024-01-01'01/01/2024,JPN,LUCKY RED DISTRIB.,173042.40,25143,4260961.89,571529,2024-01-10 09:49:19.640969
2,SUCCEDE ANCHE NELLE MIGLIORI FAMIGLIE,'2023-12-31'31/12/2023,ITA,01 DISTRIBUTION,105084.65,16013,4071334.01,564944,2024-01-10 09:49:19.640969
3,C'E' ANCORA DOMANI,'2023-10-26'26/10/2023,ITA,VISION DISTRIBUTION,70335.91,12480,34663947.50,5073637,2024-01-10 09:49:19.640969
4,PERFECT DAYS,'2024-01-04'04/01/2024,JPN,LUCKY RED DISTRIB.,65842.05,10448,788901.75,114062,2024-01-10 09:49:19.641972
5,COME PUO' UNO SCOGLIO,'2023-12-28'28/12/2023,ITA,VISION DISTRIBUTION,65732.30,10353,3530316.73,490354,2024-01-10 09:49:19.641972
6,WONKA,'2023-12-14'14/12/2023,GBR,WARNER BROS ITALIA S.P.A.,56052.72,8081,12967510.56,1725817,2024-01-10 09:49:19.641972
7,50KM ALL'ORA,'2024-01-04'04/01/2024,ITA,EAGLE PICTURES S.P.A.,41875.96,6433,1246398.76,171082,2024-01-10 09:49:19.641972
8,AQUAMAN E IL REGNO PERDUTO (AQUAMAN AND THE LOST KINGDOM),'2023-12-20'20/12/2023,USA,WARNER BROS ITALIA S.P.A.,37601.05,5350,5219284.43,670769,2024-01-10 09:49:19.641972
9,WISH,'2023-12-21'21/12/2023,USA,WALT DISNEY S.M.P. ITALIA,35739.73,5827,8147805.18,1162177,2024-01-10 09:49:19.642970
10,WONDER - WHITE BIRD,'2024-01-04'04/01/2024,USA,MEDUSA FILM S.P.A.,20202.49,3280,475691.29,67529,2024-01-10 09:49:19.642970
Pos.,Titolo,Prima Progr.,Nazione,Distribuzione,Incasso,Presenze,Incasso al 10/01/2024,Presenze al 10/01/2024,2024-01-11 08:15:56.082118
1,IL RAGAZZO E L'AIRONE (HOW DO YOU LIVE?),'2024-01-01'01/01/2024,JPN,LUCKY RED DISTRIB.,189729.40,29885,4451006.79,601469,2024-01-11 08:15:56.086118
2,SUCCEDE ANCHE NELLE MIGLIORI FAMIGLIE,'2023-12-31'31/12/2023,ITA,01 DISTRIBUTION,111172.04,18423,4182646.05,583392,2024-01-11 08:15:56.087121
3,PERFECT DAYS,'2024-01-04'04/01/2024,JPN,LUCKY RED DISTRIB.,82974.54,14185,872284.29,128341,2024-01-11 08:15:56.087121
4,C'E' ANCORA DOMANI,'2023-10-26'26/10/2023,ITA,VISION DISTRIBUTION,78485.90,13177,34744506.40,5087166,2024-01-11 08:15:56.087121
5,COME PUO' UNO SCOGLIO,'2023-12-28'28/12/2023,ITA,VISION DISTRIBUTION,64392.23,10853,3594725.96,501209,2024-01-11 08:15:56.087121
6,WONKA,'2023-12-14'14/12/2023,GBR,WARNER BROS ITALIA S.P.A.,60229.26,9348,13028434.32,1735282,2024-01-11 08:15:56.087121
7,50KM ALL'ORA,'2024-01-04'04/01/2024,ITA,EAGLE PICTURES S.P.A.,53178.06,8809,1300255.32,179998,2024-01-11 08:15:56.087121
8,WISH,'2023-12-21'21/12/2023,USA,WALT DISNEY S.M.P. ITALIA,41396.34,6968,8190522.02,1169367,2024-01-11 08:15:56.087121
9,AQUAMAN E IL REGNO PERDUTO (AQUAMAN AND THE LOST KINGDOM),'2023-12-20'20/12/2023,USA,WARNER BROS ITALIA S.P.A.,35597.23,5403,5254932.66,676180,2024-01-11 08:15:56.087121
10,WONDER - WHITE BIRD,'2024-01-04'04/01/2024,USA,MEDUSA FILM S.P.A.,26584.76,4536,502359.05,72079,2024-01-11 08:15:56.088121
Pos.,Titolo,Prima Progr.,Nazione,Distribuzione,Incasso,Presenze,Incasso al 11/01/2024,Presenze al 11/01/2024,2024-01-12 10:06:19.766112
1,IL RAGAZZO E L'AIRONE (HOW DO YOU LIVE?),'2024-01-01'01/01/2024,JPN,LUCKY RED DISTRIB.,110526.11,15649,4559743.70,616860,2024-01-12 10:06:19.767240
2,PERFECT DAYS,'2024-01-04'04/01/2024,JPN,LUCKY RED DISTRIB.,93112.48,14102,962450.27,142007,2024-01-12 10:06:19.767240
3,THE BEEKEEPER,'2024-01-11'11/01/2024,GBR,01 DISTRIBUTION,77477.25,10487,77429.25,10480,2024-01-12 10:06:19.767240
4,SUCCEDE ANCHE NELLE MIGLIORI FAMIGLIE,'2023-12-31'31/12/2023,ITA,01 DISTRIBUTION,70409.34,10456,4251330.89,593525,2024-01-12 10:06:19.767749
5,C'E' ANCORA DOMANI,'2023-10-26'26/10/2023,ITA,VISION DISTRIBUTION,44223.50,7317,34787887.40,5094309,2024-01-12 10:06:19.767749
6,ENEA,'2024-01-11'11/01/2024,ITA,VISION DISTRIBUTION,42566.37,6352,49483.87,7378,2024-01-12 10:06:19.767749
7,WONKA,'2023-12-14'14/12/2023,GBR,WARNER BROS ITALIA S.P.A.,34882.27,4865,13063311.59,1740146,2024-01-12 10:06:19.767749
8,COME PUO' UNO SCOGLIO,'2023-12-28'28/12/2023,ITA,VISION DISTRIBUTION,33505.48,4929,3627912.94,506083,2024-01-12 10:06:19.767749
9,50KM ALL'ORA,'2024-01-04'04/01/2024,ITA,EAGLE PICTURES S.P.A.,25757.58,3795,1326061.40,183803,2024-01-12 10:06:19.767749
10,CHI SEGNA VINCE (NEXT GOAL WINS),'2024-01-11'11/01/2024,USA,WALT DISNEY S.M.P. ITALIA,24326.60,3884,24319.60,3883,2024-01-12 10:06:19.767749
Pos.,Titolo,Prima Progr.,Nazione,Distribuzione,Incasso,Presenze,Incasso al 12/01/2024,Presenze al 12/01/2024,2024-01-13 09:43:42.987585
1,IL RAGAZZO E L'AIRONE (HOW DO YOU LIVE?),'2024-01-01'01/01/2024,JPN,LUCKY RED DISTRIB.,182284.61,24974,4746701.91,642566,2024-01-13 09:43:42.987585
2,PERFECT DAYS,'2024-01-04'04/01/2024,JPN,LUCKY RED DISTRIB.,130120.20,19334,1099530.47,162488,2024-01-13 09:43:42.987585
3,THE BEEKEEPER,'2024-01-11'11/01/2024,GBR,01 DISTRIBUTION,128395.72,16816,206154.47,27340,2024-01-13 09:43:42.987585
4,SUCCEDE ANCHE NELLE MIGLIORI FAMIGLIE,'2023-12-31'31/12/2023,ITA,01 DISTRIBUTION,121185.31,17420,4374449.50,611314,2024-01-13 09:43:42.987585
5,WONKA,'2023-12-14'14/12/2023,GBR,WARNER BROS ITALIA S.P.A.,88275.05,11969,13151785.34,1752147,2024-01-13 09:43:42.987585
6,C'E' ANCORA DOMANI,'2023-10-26'26/10/2023,ITA,VISION DISTRIBUTION,85373.63,13641,34876023.33,5108455,2024-01-13 09:43:42.987585
7,ENEA,'2024-01-11'11/01/2024,ITA,VISION DISTRIBUTION,68114.43,9945,118337.30,17408,2024-01-13 09:43:42.987585
8,50KM ALL'ORA,'2024-01-04'04/01/2024,ITA,EAGLE PICTURES S.P.A.,62257.31,8758,1388432.25,192577,2024-01-13 09:43:42.987585
9,COME PUO' UNO SCOGLIO,'2023-12-28'28/12/2023,ITA,VISION DISTRIBUTION,57825.44,8085,3686231.38,514249,2024-01-13 09:43:42.987585
10,CHI SEGNA VINCE (NEXT GOAL WINS),'2024-01-11'11/01/2024,USA,WALT DISNEY S.M.P. ITALIA,57466.47,8410,81812.87,12298,2024-01-13 09:43:42.987585
Pos.,Titolo,Prima Progr.,Nazione,Distribuzione,Incasso,Presenze,Incasso al 13/01/2024,Presenze al 13/01/2024,2024-01-14 10:09:08.660733
1,IL RAGAZZO E L'AIRONE (HOW DO YOU LIVE?),'2024-01-01'01/01/2024,JPN,LUCKY RED DISTRIB.,382045.48,50332,5129076.39,692959,2024-01-14 10:09:08.664732
2,THE BEEKEEPER,'2024-01-11'11/01/2024,GBR,01 DISTRIBUTION,295127.02,36591,501281.49,63931,2024-01-14 10:09:08.665733
3,PERFECT DAYS,'2024-01-04'04/01/2024,JPN,LUCKY RED DISTRIB.,291873.69,41035,1391756.16,203584,2024-01-14 10:09:08.665733
4,SUCCEDE ANCHE NELLE MIGLIORI FAMIGLIE,'2023-12-31'31/12/2023,ITA,01 DISTRIBUTION,279049.70,38413,4654031.20,649807,2024-01-14 10:09:08.665733
5,WONKA,'2023-12-14'14/12/2023,GBR,WARNER BROS ITALIA S.P.A.,275094.54,36047,13426565.38,1788147,2024-01-14 10:09:08.665733
6,50KM ALL'ORA,'2024-01-04'04/01/2024,ITA,EAGLE PICTURES S.P.A.,202877.58,27090,1591395.33,219685,2024-01-14 10:09:08.665733
7,WISH,'2023-12-21'21/12/2023,USA,WALT DISNEY S.M.P. ITALIA,190786.35,27375,8449037.17,1207347,2024-01-14 10:09:08.665733
8,ENEA,'2024-01-11'11/01/2024,ITA,VISION DISTRIBUTION,174459.15,24171,292982.95,41610,2024-01-14 10:09:08.665733
9,CHI SEGNA VINCE (NEXT GOAL WINS),'2024-01-11'11/01/2024,USA,WALT DISNEY S.M.P. ITALIA,155103.46,21450,236994.83,33760,2024-01-14 10:09:08.665733
10,C'E' ANCORA DOMANI,'2023-10-26'26/10/2023,ITA,VISION DISTRIBUTION,137819.64,17896,35013960.47,5126379,2024-01-14 10:09:08.666733
Pos.,Titolo,Prima Progr.,Nazione,Distribuzione,Incasso,Presenze,Incasso al 14/01/2024,Presenze al 14/01/2024,2024-01-15 13:57:53.790463
1,IL RAGAZZO E L'AIRONE (HOW DO YOU LIVE?),'2024-01-01'01/01/2024,JPN,LUCKY RED DISTRIB.,361325.23,49405,5492021.62,742610,2024-01-15 13:57:53.793622
2,SUCCEDE ANCHE NELLE MIGLIORI FAMIGLIE,'2023-12-31'31/12/2023,ITA,01 DISTRIBUTION,358338.29,49601,5014446.49,699757,2024-01-15 13:57:53.794635
3,PERFECT DAYS,'2024-01-04'04/01/2024,JPN,LUCKY RED DISTRIB.,353212.97,49935,1744969.13,253519,2024-01-15 13:57:53.794635
4,WONKA,'2023-12-14'14/12/2023,GBR,WARNER BROS ITALIA S.P.A.,300487.63,39918,13727153.01,1828081,2024-01-15 13:57:53.794635
5,WISH,'2023-12-21'21/12/2023,USA,WALT DISNEY S.M.P. ITALIA,285532.79,40796,8735840.46,1248346,2024-01-15 13:57:53.794635
6,THE BEEKEEPER,'2024-01-11'11/01/2024,GBR,01 DISTRIBUTION,265292.05,33316,766692.54,97264,2024-01-15 13:57:53.794635
7,ENEA,'2024-01-11'11/01/2024,ITA,VISION DISTRIBUTION,219925.38,30464,513749.33,72205,2024-01-15 13:57:53.794635
8,50KM ALL'ORA,'2024-01-04'04/01/2024,ITA,EAGLE PICTURES S.P.A.,196234.47,26874,1788309.80,246670,2024-01-15 13:57:53.794635
9,C'E' ANCORA DOMANI,'2023-10-26'26/10/2023,ITA,VISION DISTRIBUTION,155962.83,20765,35170091.80,5147170,2024-01-15 13:57:53.795634
10,CHI SEGNA VINCE (NEXT GOAL WINS),'2024-01-11'11/01/2024,USA,WALT DISNEY S.M.P. ITALIA,153486.19,21705,390516.02,55470,2024-01-15 13:57:53.795634
Pos.,Titolo,Prima Progr.,Nazione,Distribuzione,Incasso,Presenze,Incasso al 15/01/2024,Presenze al 15/01/2024,2024-01-16 18:48:13.885522
1,IL RAGAZZO E L'AIRONE (HOW DO YOU LIVE?),'2024-01-01'01/01/2024,JPN,LUCKY RED DISTRIB.,73876.51,10799,5569891.73,752562,2024-01-16 18:48:13.890521
2,PERFECT DAYS,'2024-01-04'04/01/2024,JPN,LUCKY RED DISTRIB.,70926.25,11313,1819204.18,265318,2024-01-16 18:48:13.890521
3,THE BEEKEEPER,'2024-01-11'11/01/2024,GBR,01 DISTRIBUTION,61223.64,8568,828769.18,105958,2024-01-16 18:48:13.890521
4,SUCCEDE ANCHE NELLE MIGLIORI FAMIGLIE,'2023-12-31'31/12/2023,ITA,01 DISTRIBUTION,41883.55,6405,5059967.54,706751,2024-01-16 18:48:13.890521
5,ENEA,'2024-01-11'11/01/2024,ITA,VISION DISTRIBUTION,36924.07,5750,551773.30,78130,2024-01-16 18:48:13.890521
6,C'E' ANCORA DOMANI,'2023-10-26'26/10/2023,ITA,VISION DISTRIBUTION,35005.86,5722,35205501.76,5152947,2024-01-16 18:48:13.890521
7,WONKA,'2023-12-14'14/12/2023,GBR,WARNER BROS ITALIA S.P.A.,29095.73,4279,13756652.24,1832420,2024-01-16 18:48:13.890521
8,CHI SEGNA VINCE (NEXT GOAL WINS),'2024-01-11'11/01/2024,USA,WALT DISNEY S.M.P. ITALIA,26263.85,4177,417294.17,59722,2024-01-16 18:48:13.891522
9,COME PUO' UNO SCOGLIO,'2023-12-28'28/12/2023,ITA,VISION DISTRIBUTION,21956.97,3268,3982107.69,554254,2024-01-16 18:48:13.891522
10,50KM ALL'ORA,'2024-01-04'04/01/2024,ITA,EAGLE PICTURES S.P.A.,19449.97,3106,1808678.27,249905,2024-01-16 18:48:13.891522
Pos.,Titolo,Prima Progr.,Nazione,Distribuzione,Incasso,Presenze,Incasso al 16/01/2024,Presenze al 16/01/2024,2024-01-17 13:40:33.028020
1,PERFECT DAYS,'2024-01-04'04/01/2024,JPN,LUCKY RED DISTRIB.,89827.19,14036,1909650.87,279475,2024-01-17 13:40:33.032531
2,IL RAGAZZO E L'AIRONE (HOW DO YOU LIVE?),'2024-01-01'01/01/2024,JPN,LUCKY RED DISTRIB.,89617.73,13111,5660089.96,765775,2024-01-17 13:40:33.032531
3,THE BEEKEEPER,'2024-01-11'11/01/2024,GBR,01 DISTRIBUTION,57627.73,8124,886396.91,114082,2024-01-17 13:40:33.033538
4,C'E' ANCORA DOMANI,'2023-10-26'26/10/2023,ITA,VISION DISTRIBUTION,53778.12,9246,35260239.38,5162321,2024-01-17 13:40:33.033538
5,ENEA,'2024-01-11'11/01/2024,ITA,VISION DISTRIBUTION,48603.01,7658,600744.31,85856,2024-01-17 13:40:33.033538
6,SUCCEDE ANCHE NELLE MIGLIORI FAMIGLIE,'2023-12-31'31/12/2023,ITA,01 DISTRIBUTION,46262.06,7189,5106283.60,713946,2024-01-17 13:40:33.033538
7,WONKA,'2023-12-14'14/12/2023,GBR,WARNER BROS ITALIA S.P.A.,31606.92,4620,13791366.16,1837458,2024-01-17 13:40:33.033538
8,50KM ALL'ORA,'2024-01-04'04/01/2024,ITA,EAGLE PICTURES S.P.A.,25792.84,4009,1835247.11,254006,2024-01-17 13:40:33.033538
9,CHI SEGNA VINCE (NEXT GOAL WINS),'2024-01-11'11/01/2024,USA,WALT DISNEY S.M.P. ITALIA,24056.51,3896,441350.68,63618,2024-01-17 13:40:33.033538
10,COME PUO' UNO SCOGLIO,'2023-12-28'28/12/2023,ITA,VISION DISTRIBUTION,23405.91,3722,4006121.10,558049,2024-01-17 13:40:33.034537
Pos.,Titolo,Prima Progr.,Nazione,Distribuzione,Incasso,Presenze,Incasso al 17/01/2024,Presenze al 17/01/2024,2024-01-18 08:29:51.315973
1,PERFECT DAYS,'2024-01-04'04/01/2024,JPN,LUCKY RED DISTRIB.,106549.98,17853,2016200.85,297328,2024-01-18 08:29:51.315973
2,IL RAGAZZO E L'AIRONE (HOW DO YOU LIVE?),'2024-01-01'01/01/2024,JPN,LUCKY RED DISTRIB.,102976.61,16204,5763332.57,782028,2024-01-18 08:29:51.315973
3,THE BEEKEEPER,'2024-01-11'11/01/2024,GBR,01 DISTRIBUTION,69183.55,10358,956024.46,124513,2024-01-18 08:29:51.316976
4,ENEA,'2024-01-11'11/01/2024,ITA,VISION DISTRIBUTION,64130.53,11109,665062.84,96994,2024-01-18 08:29:51.316976
5,C'E' ANCORA DOMANI,'2023-10-26'26/10/2023,ITA,VISION DISTRIBUTION,61250.18,10913,35323893.06,5173855,2024-01-18 08:29:51.316976
6,SUCCEDE ANCHE NELLE MIGLIORI FAMIGLIE,'2023-12-31'31/12/2023,ITA,01 DISTRIBUTION,56030.24,9301,5162794.84,723323,2024-01-18 08:29:51.316976
7,WONKA,'2023-12-14'14/12/2023,GBR,WARNER BROS ITALIA S.P.A.,39203.64,6017,13830696.30,1843495,2024-01-18 08:29:51.316976
8,CHI SEGNA VINCE (NEXT GOAL WINS),'2024-01-11'11/01/2024,USA,WALT DISNEY S.M.P. ITALIA,31556.76,5287,473046.44,68928,2024-01-18 08:29:51.316976
9,50KM ALL'ORA,'2024-01-04'04/01/2024,ITA,EAGLE PICTURES S.P.A.,30756.01,5146,1866822.62,259277,2024-01-18 08:29:51.316976
10,COME PUO' UNO SCOGLIO,'2023-12-28'28/12/2023,ITA,VISION DISTRIBUTION,27569.21,4636,4034313.31,562779,2024-01-18 08:29:51.317974
Pos.,Titolo,Prima Progr.,Nazione,Distribuzione,Incasso,Presenze,Incasso al 18/01/2024,Presenze al 18/01/2024,2024-01-19 09:10:03.637200
1,PARE PARECCHIO PARIGI,'2024-01-18'18/01/2024,ITA,01 DISTRIBUTION,83374.38,11862,83374.38,11862,2024-01-19 09:10:03.638199
2,PERFECT DAYS,'2024-01-04'04/01/2024,JPN,LUCKY RED DISTRIB.,82299.93,12661,2099982.28,310254,2024-01-19 09:10:03.638199
3,IL RAGAZZO E L'AIRONE (HOW DO YOU LIVE?),'2024-01-01'01/01/2024,JPN,LUCKY RED DISTRIB.,48694.31,7027,5813082.38,789258,2024-01-19 09:10:03.638199
4,THE BEEKEEPER,'2024-01-11'11/01/2024,GBR,01 DISTRIBUTION,46380.70,6154,1002694.66,130728,2024-01-19 09:10:03.638199
5,THE HOLDOVERS - LEZIONI DI VITA (THE HOLDOVERS),'2024-01-18'18/01/2024,USA,UNIVERSAL S.R.L.,36707.62,5848,39300.88,6352,2024-01-19 09:10:03.638199
6,ENEA,'2024-01-11'11/01/2024,ITA,VISION DISTRIBUTION,35741.75,5263,701221.09,102345,2024-01-19 09:10:03.638199
7,C'E' ANCORA DOMANI,'2023-10-26'26/10/2023,ITA,VISION DISTRIBUTION,33001.52,5592,35357365.08,5179551,2024-01-19 09:10:03.638199
8,SUCCEDE ANCHE NELLE MIGLIORI FAMIGLIE,'2023-12-31'31/12/2023,ITA,01 DISTRIBUTION,24764.38,3730,5187627.72,727063,2024-01-19 09:10:03.639199
9,WONKA,'2023-12-14'14/12/2023,GBR,WARNER BROS ITALIA S.P.A.,20860.26,3001,13851925.06,1846575,2024-01-19 09:10:03.639199
10,COME PUO' UNO SCOGLIO,'2023-12-28'28/12/2023,ITA,VISION DISTRIBUTION,13152.46,1920,4047495.77,564714,2024-01-19 09:10:03.639199
Pos.,Titolo,Prima Progr.,Nazione,Distribuzione,Incasso,Presenze,Incasso al 19/01/2024,Presenze al 19/01/2024,2024-01-20 09:37:41.024330
1,PARE PARECCHIO PARIGI,'2024-01-18'18/01/2024,ITA,01 DISTRIBUTION,159234.70,22219,243069.58,34155,2024-01-20 09:37:41.028746
2,PERFECT DAYS,'2024-01-04'04/01/2024,JPN,LUCKY RED DISTRIB.,146844.64,21598,2247127.72,331918,2024-01-20 09:37:41.028746
3,THE BEEKEEPER,'2024-01-11'11/01/2024,GBR,01 DISTRIBUTION,86814.18,11053,1089685.34,141811,2024-01-20 09:37:41.028746
4,IL RAGAZZO E L'AIRONE (HOW DO YOU LIVE?),'2024-01-01'01/01/2024,JPN,LUCKY RED DISTRIB.,85295.51,11655,5898526.79,800938,2024-01-20 09:37:41.028746
5,THE HOLDOVERS - LEZIONI DI VITA (THE HOLDOVERS),'2024-01-18'18/01/2024,USA,UNIVERSAL S.R.L.,72275.44,10834,111648.82,17199,2024-01-20 09:37:41.028746
6,WONKA,'2023-12-14'14/12/2023,GBR,WARNER BROS ITALIA S.P.A.,51497.22,7158,13904490.78,1853915,2024-01-20 09:37:41.028746
7,ENEA,'2024-01-11'11/01/2024,ITA,VISION DISTRIBUTION,49055.76,7002,750477.85,109379,2024-01-20 09:37:41.029759
8,C'E' ANCORA DOMANI,'2023-10-26'26/10/2023,ITA,VISION DISTRIBUTION,48074.38,7593,35405334.46,5187123,2024-01-20 09:37:41.029759
9,SUCCEDE ANCHE NELLE MIGLIORI FAMIGLIE,'2023-12-31'31/12/2023,ITA,01 DISTRIBUTION,44563.32,6311,5232242.54,733382,2024-01-20 09:37:41.029759
10,CHI SEGNA VINCE (NEXT GOAL WINS),'2024-01-11'11/01/2024,USA,WALT DISNEY S.M.P. ITALIA,29299.47,4065,514878.67,74919,2024-01-20 09:37:41.029759
Pos.,Titolo,Prima Progr.,Nazione,Distribuzione,Incasso,Presenze,Incasso al 20/01/2024,Presenze al 20/01/2024,2024-01-21 10:05:52.722229
1,PARE PARECCHIO PARIGI,'2024-01-18'18/01/2024,ITA,01 DISTRIBUTION,471026.74,62731,714706.82,96976,2024-01-21 10:05:52.724229
2,PERFECT DAYS,'2024-01-04'04/01/2024,JPN,LUCKY RED DISTRIB.,340473.86,47735,2589133.08,379894,2024-01-21 10:05:52.724229
3,THE HOLDOVERS - LEZIONI DI VITA (THE HOLDOVERS),'2024-01-18'18/01/2024,USA,UNIVERSAL S.R.L.,224777.50,31066,336991.82,48336,2024-01-21 10:05:52.724229
4,THE BEEKEEPER,'2024-01-11'11/01/2024,GBR,01 DISTRIBUTION,218048.62,26792,1307874.96,168624,2024-01-21 10:05:52.724229
5,IL RAGAZZO E L'AIRONE (HOW DO YOU LIVE?),'2024-01-01'01/01/2024,JPN,LUCKY RED DISTRIB.,191113.07,24740,6089853.36,825709,2024-01-21 10:05:52.725231
6,WONKA,'2023-12-14'14/12/2023,GBR,WARNER BROS ITALIA S.P.A.,180781.69,23679,14085469.97,1877624,2024-01-21 10:05:52.725231
7,SUCCEDE ANCHE NELLE MIGLIORI FAMIGLIE,'2023-12-31'31/12/2023,ITA,01 DISTRIBUTION,119961.24,16201,5352283.74,749598,2024-01-21 10:05:52.725231
8,WISH,'2023-12-21'21/12/2023,USA,WALT DISNEY S.M.P. ITALIA,112580.46,16206,8942747.11,1280086,2024-01-21 10:05:52.725231
9,ENEA,'2024-01-11'11/01/2024,ITA,VISION DISTRIBUTION,110472.00,14981,861476.85,124442,2024-01-21 10:05:52.725231
10,IL FANTASMA DI CANTERVILLE (THE CANTERVILLE GHOST),'2024-01-18'18/01/2024,GBR,ADLER ENTERTAINMENT S.R.L.,96781.83,14336,120999.99,18350,2024-01-21 10:05:52.725231
